# Graph with 65 nodes and 374 edges
# Generated with fast_gnp_random_graph(65, 0.17)
# Generated on 2024-03-13 03:26:19.275675
colors = 7
0,3
0,8
0,18
0,20
0,26
0,32
0,36
0,38
0,39
0,40
0,41
0,42
0,50
0,54
0,56
0,63
1,2
1,3
1,5
1,6
1,8
1,13
1,22
1,40
1,44
1,51
1,60
1,64
2,15
2,22
2,23
2,29
2,44
2,48
2,49
2,52
2,55
2,57
2,58
2,63
3,7
3,12
3,15
3,29
3,31
3,35
3,37
3,39
3,45
3,46
3,51
3,64
4,5
4,16
4,18
4,20
4,26
4,34
4,35
4,40
4,42
4,43
4,47
4,51
4,53
4,56
4,59
4,60
5,14
5,16
5,19
5,23
5,27
5,28
5,29
5,30
5,33
5,37
5,48
5,52
5,53
5,59
6,10
6,11
6,13
6,16
6,17
6,18
6,34
6,35
6,37
6,54
6,59
6,60
7,8
7,22
7,24
7,25
7,29
7,30
7,35
7,48
7,54
7,61
8,21
8,22
8,26
8,28
8,30
8,35
8,46
8,49
9,10
9,13
9,41
9,42
9,44
9,47
9,48
9,59
10,16
10,17
10,19
10,21
10,37
10,38
10,46
10,55
10,56
10,58
10,61
10,63
11,19
11,21
11,29
11,31
11,39
11,52
11,55
11,61
11,62
12,13
12,20
12,22
12,34
12,41
12,48
13,16
13,23
13,44
13,53
13,63
14,40
14,43
14,46
14,49
14,50
14,55
14,56
14,58
15,18
15,28
15,38
15,49
15,51
15,54
15,56
15,60
16,30
16,38
16,39
16,54
16,59
17,21
17,26
17,35
17,37
17,39
17,46
17,49
17,56
17,57
17,62
17,63
18,19
18,21
18,25
18,27
18,28
18,36
18,37
18,48
18,49
18,59
19,36
19,57
19,60
19,63
20,28
20,31
20,36
20,39
20,43
20,58
20,59
20,63
21,22
21,24
21,29
21,34
21,38
21,46
21,48
21,49
21,53
21,60
21,61
21,63
21,64
22,23
22,27
22,36
22,41
22,47
22,50
22,56
22,62
23,33
23,42
23,53
24,37
24,38
24,42
24,52
24,57
24,62
25,26
25,46
25,56
25,62
26,32
26,34
26,39
26,57
26,63
27,34
27,40
27,57
28,38
28,42
28,47
28,53
28,61
28,62
29,31
29,32
29,43
29,44
29,52
30,36
30,42
30,43
30,57
31,32
31,35
31,43
31,50
31,55
31,58
32,35
32,37
32,38
32,44
32,46
32,50
32,53
32,55
32,57
32,62
33,49
33,57
33,61
34,38
34,45
34,62
34,64
35,36
35,40
35,42
35,43
35,48
35,49
35,56
35,58
35,60
35,64
36,37
36,39
36,45
36,48
36,60
37,44
37,45
37,50
37,57
37,60
38,45
38,50
38,58
38,61
39,41
39,46
39,54
39,58
40,42
40,47
40,49
40,56
40,57
40,59
40,63
41,47
41,52
42,43
42,49
42,54
43,44
43,54
43,56
44,47
44,48
44,53
44,59
44,60
45,49
45,56
45,59
45,60
45,61
46,52
46,56
46,59
47,52
47,53
47,58
47,63
48,51
48,52
48,56
48,58
49,52
49,58
49,61
49,63
50,56
50,60
50,62
51,52
51,54
51,55
51,58
51,59
51,61
52,53
52,63
53,58
53,60
53,64
54,63
56,60
58,59
58,61
58,63
61,64
